date,valid_pixels,baseline_median_c,mad_c,threshold_c,hotspot_pixels,hotspot_fraction,mean_anomaly_hot_pixels,has_night_pair,mean_night_cooling_c
2025-01-22,1397570,31.807153701782227,1.0102291107177734,2.0408771514892585,139757,0.1,2.713705539703369,False,nan
2025-01-24,1397570,31.313730239868164,1.3910903930664062,2.842486190795899,139757,0.1,3.8916189670562744,False,nan
2025-01-26,1397570,28.526514053344727,1.9172430038452148,4.086742782592776,139757,0.1,5.318501949310303,True,5.950984954833984
2025-01-27,1397570,29.74810791015625,1.6222667694091797,3.3975681304931644,139757,0.1,4.415438652038574,False,nan
2025-01-28,1397570,32.7073974609375,1.7791881561279297,4.883056640625,139758,0.10000071552766587,6.68594217300415,False,nan
2025-01-31,1397570,31.818674087524414,1.0002021789550781,2.002553939819336,139761,0.1000028621106635,2.616856813430786,False,nan
2025-02-01,1397570,33.29917526245117,1.8809356689453125,8.65467338562013,139757,0.1,12.125628471374512,True,2.316471815109253
2025-02-02,1397570,32.300479888916016,1.3803443908691406,2.4861156463623058,139757,0.1,6.394571781158447,False,nan
2025-02-03,1397570,34.270851135253906,2.5096797943115234,4.43633995056153,139757,0.1,5.830363750457764,True,2.1113059520721436
2025-02-04,1397570,39.18779754638672,2.8427734375,4.572460174560547,139778,0.10001502608098342,5.683869361877441,False,nan
2025-02-05,1397570,31.509544372558594,2.056529998779297,3.5650493621826183,139757,0.1,4.851132869720459,True,8.705455780029297
2025-02-06,1397570,32.18898010253906,1.7464580535888672,3.1718605041503913,139757,0.1,4.491278648376465,True,6.6676411628723145
2025-02-07,1397570,36.53601837158203,3.3892860412597656,5.656251144409181,139757,0.1,6.884065628051758,True,14.191251754760742
2025-02-08,1397570,31.32902717590332,3.367544174194336,4.053582000732424,139757,0.1,5.362202167510986,False,nan
2025-02-09,1397570,32.087459564208984,1.3089561462402344,2.010101699829102,139757,0.1,2.484720468521118,False,nan
2025-02-10,1397570,32.16282653808594,1.7520256042480469,3.1313720703125014,139757,0.1,4.6542229652404785,True,9.677526473999023
2025-02-11,1397570,33.374977111816406,2.1161508560180664,3.930276870727541,139757,0.1,4.986489772796631,False,nan
2025-02-12,1397570,33.01333236694336,2.110994338989258,3.78843002319336,139757,0.1,5.221737861633301,True,8.079283714294434
2025-02-13,1397570,33.62592697143555,2.1368637084960938,3.9571990966796875,139759,0.10000143105533175,5.0055623054504395,False,nan
2025-02-14,1397570,40.35182189941406,2.8326950073242188,5.194710922241219,139757,0.1,6.667413234710693,False,nan
2025-02-15,1397570,35.159385681152344,2.537738800048828,4.4938465118408235,139757,0.1,6.018127918243408,True,12.251504898071289
2025-02-16,1397570,35.131927490234375,2.530609130859375,4.492090225219728,139757,0.1,5.9923996925354,True,11.132919311523438
2025-02-17,1397570,40.23690414428711,3.3616600036621094,5.090756607055665,139757,0.1,6.25649356842041,True,15.893170356750488
2025-02-18,1397570,33.29718780517578,2.184687614440918,4.023780822753906,139759,0.10000143105533175,5.160419464111328,False,nan
2025-02-19,1397570,36.9907112121582,2.799470901489258,4.914232254028322,139757,0.1,6.164968013763428,False,nan
2025-02-20,1397570,40.796669006347656,3.4038619995117188,5.432277679443359,139758,0.10000071552766587,6.647375106811523,True,16.805274963378906
2025-02-21,1397570,43.39651870727539,3.340688705444336,4.9345138549804695,139757,0.1,6.121847152709961,True,17.638540267944336
2025-02-22,1397570,42.86548614501953,3.644460678100586,5.29892807006836,139757,0.1,6.459975242614746,True,17.176738739013672
2025-02-23,1397570,35.433349609375,2.45751953125,4.231685256958015,139757,0.1,5.402804851531982,False,nan
