date,valid_pixels,baseline_median_c,mad_c,threshold_c,hotspot_pixels,hotspot_fraction,mean_anomaly_hot_pixels,has_night_pair,mean_night_cooling_c
2025-02-01,1397570,33.29917526245117,1.8809356689453125,8.65467357635498,139757,0.1,12.125628471374512,True,2.3164725303649902
2025-02-02,1397570,32.300479888916016,1.3803443908691406,2.4861156940460205,139757,0.1,6.394571304321289,False,nan
2025-02-03,1397570,34.270851135253906,2.5096797943115234,4.436339855194092,139757,0.1,5.830363750457764,True,2.1113059520721436
2025-02-04,1397570,39.18779754638672,2.8427734375,4.572460174560547,139778,0.10001502608098342,5.683868408203125,False,nan
2025-02-05,1397570,31.509544372558594,2.056529998779297,3.565049409866333,139757,0.1,4.851132392883301,True,8.705455780029297
2025-02-06,1397570,32.18898010253906,1.7464580535888672,3.171860456466675,139757,0.1,4.491278648376465,True,6.667641639709473
2025-02-07,1397570,36.53601837158203,3.3892860412597656,5.656250953674316,139757,0.1,6.884065628051758,True,14.19125747680664
2025-02-08,1397570,31.32902717590332,3.367544174194336,4.053582191467285,139757,0.1,5.3622026443481445,False,nan
2025-02-09,1397570,32.087459564208984,1.3089561462402344,2.010101795196533,139757,0.1,2.484720468521118,False,nan
2025-02-10,1397570,32.16282653808594,1.7520256042480469,3.1313719749450684,139757,0.1,4.6542229652404785,True,9.67752456665039
2025-02-11,1397570,33.374977111816406,2.1161508560180664,3.930276870727539,139757,0.1,4.986489772796631,False,nan
2025-02-12,1397570,33.01333236694336,2.110994338989258,3.7884299755096436,139757,0.1,5.221736907958984,True,8.079280853271484
2025-02-13,1397570,33.62592697143555,2.1368637084960938,3.9571990966796875,139759,0.10000143105533175,5.0055623054504395,False,nan
2025-02-14,1397570,40.35182189941406,2.8326950073242188,5.194710731506348,139757,0.1,6.667413711547852,False,nan
2025-02-15,1397570,35.159385681152344,2.537738800048828,4.493846416473389,139757,0.1,6.01812744140625,True,12.251507759094238
2025-02-16,1397570,35.131927490234375,2.530609130859375,4.492090225219727,139757,0.1,5.992400169372559,True,11.132920265197754
2025-02-17,1397570,40.23690414428711,3.3616600036621094,5.090756416320801,139757,0.1,6.25649356842041,True,15.893170356750488
2025-02-18,1397570,33.29718780517578,2.184687614440918,4.023780822753906,139759,0.10000143105533175,5.16041898727417,False,nan
2025-02-19,1397570,36.9907112121582,2.799470901489258,4.91423225402832,139757,0.1,6.164968490600586,False,nan
2025-02-20,1397570,40.796669006347656,3.4038619995117188,5.432277679443359,139758,0.10000071552766587,6.647375106811523,True,16.805269241333008
2025-02-21,1397570,43.39651870727539,3.340688705444336,4.934514045715332,139757,0.1,6.121848106384277,True,17.638540267944336
2025-02-22,1397570,42.86548614501953,3.644460678100586,5.298928260803223,139757,0.1,6.459975242614746,True,17.176738739013672
2025-02-23,1397570,35.433349609375,2.45751953125,4.231685161590576,139757,0.1,5.402805328369141,False,nan
2025-02-24,1397570,36.02928161621094,2.9875659942626953,5.585080146789551,139757,0.1,7.159810543060303,False,nan
2025-02-25,1397570,34.386741638183594,2.9065465927124023,6.482296466827393,139757,0.1,8.658439636230469,True,2.9976937770843506
2025-02-27,1397570,32.133094787597656,1.497772216796875,2.569939136505127,139757,0.1,3.7886903285980225,True,5.260869026184082
2025-02-28,1397570,32.9254035949707,1.6380863189697266,3.2886853218078613,139757,0.1,4.962499618530273,False,nan
2025-03-02,1397570,32.22810363769531,1.2209358215332031,1.8807830810546875,139758,0.10000071552766587,2.775238513946533,False,nan
2025-03-03,1397570,32.266849517822266,1.1988296508789062,1.9458431005477905,139757,0.1,2.878743886947632,False,nan
2025-03-04,1397570,34.509124755859375,2.949207305908203,12.64512825012207,139757,0.1,15.158548355102539,False,nan
