date,t_index,landsat_valid_frac,modis_valid_frac,viirs_valid_frac,static_valid_frac,ok
2019-07-28,1669,0.00020103471631767808,0.0,0.02150943396226415,0.5046075859981842,False
2019-08-13,1685,0.23456428067040394,0.0,0.0,0.5046075859981842,False
2019-08-29,1701,0.83147166058999,0.0,0.09547169811320755,0.5046075859981842,True
2019-09-14,1717,0.5379227853756251,0.0,0.47773584905660377,0.5046075859981842,True
2019-09-30,1733,0.0,0.0,0.0007547169811320754,0.5046075859981842,False
2019-10-16,1749,0.0,0.0,0.0,0.5046075859981842,False
2019-11-01,1765,0.7176067501549193,0.0,0.41924528301886793,0.5046075859981842,True
2019-11-17,1781,0.23092620080413886,0.0,0.28452830188679246,0.5046075859981842,False
2019-12-19,1813,0.016139701113977317,0.0,0.13849056603773585,0.5046075859981842,False
2020-01-04,1829,0.5811333602340362,0.0,0.4271698113207547,0.5046075859981842,True
2020-01-20,1845,0.5952663169575305,0.0,0.37169811320754714,0.5046075859981842,True
2020-02-05,1861,0.43432974016803333,0.0,0.3181132075471698,0.5046075859981842,True
2020-02-21,1877,0.5487170526437146,0.0,0.016226415094339624,0.5046075859981842,False
2020-03-08,1893,0.34384610396160886,0.0,0.3045283018867925,0.5046075859981842,True
2020-03-24,1909,0.47764623654364396,0.0,0.3332075471698113,0.5046075859981842,True
2020-04-09,1925,0.9467596662391377,0.0,0.41924528301886793,0.5046075859981842,True
2020-04-25,1941,0.38605042440662335,0.0,0.06377358490566037,0.5046075859981842,True
2020-05-11,1957,0.04474247380784251,0.0,0.0,0.5046075859981842,False
2020-05-27,1973,0.9754218846824516,0.0,0.009811320754716982,0.5046075859981842,False
2020-06-12,1989,0.22886037094147657,0.0,0.0,0.5046075859981842,False
2020-06-28,2005,0.05061066997161015,0.0,0.04452830188679245,0.5046075859981842,False
2020-07-14,2021,0.9741483045351703,0.0,0.006415094339622641,0.5046075859981842,False
2020-07-30,2037,0.8331141646611232,0.0,0.008679245283018867,0.5046075859981842,False
2020-08-15,2053,0.0,0.0,0.0,0.5046075859981842,False
2020-08-31,2069,4.323327232638239e-06,0.0,0.0,0.5046075859981842,False
2020-09-16,2085,0.8992870112838841,0.0,0.046037735849056606,0.5046075859981842,False
2020-10-02,2101,0.012212318600394864,0.0,0.036226415094339624,0.5046075859981842,False
2020-10-18,2117,0.10430423253736075,0.0,0.0,0.5046075859981842,False
2020-11-19,2149,0.15796284820798087,0.0,0.06943396226415094,0.5046075859981842,False
2020-12-05,2165,0.0,0.0,0.0,0.5046075859981842,False
2020-12-21,2181,0.5986965168393595,0.0,0.035849056603773584,0.5046075859981842,False
2021-01-06,2197,0.009815393927166348,0.0,0.21622641509433962,0.5046075859981842,False
2021-01-22,2213,0.37726254125174735,0.0,0.36566037735849055,0.5046075859981842,True
2021-02-07,2229,0.9899713219293569,0.0,0.5120754716981132,0.5046075859981842,True
2021-02-23,2245,0.9422331426265654,0.0,0.5116981132075472,0.5046075859981842,True
2021-03-11,2261,0.6105907106108861,0.0,0.3339622641509434,0.5046075859981842,True
2021-03-27,2277,0.6967247193440071,0.0,0.052075471698113204,0.5046075859981842,True
2021-04-12,2293,0.15913627127437277,0.0,0.0,0.5046075859981842,False
2021-04-28,2309,0.7785941260393999,0.0,0.3569811320754717,0.5046075859981842,True
2021-05-14,2325,0.05300110965398971,0.0,0.0,0.5046075859981842,False
2021-05-30,2341,0.9893873124756812,0.0,0.4788679245283019,0.5046075859981842,True
