landsat_date,landsat_satellite,outlier,era5_files,modis_files,viirs_files
2022-10-08,8,no,ERA5L_2022_10_08_Madurai.tif,,viirs_raw_2022_10_08_4band.tif
2022-10-16,9,no,ERA5L_2022_10_16_Madurai.tif,,viirs_raw_2022_10_16_4band.tif
2022-10-24,8,no,ERA5L_2022_10_24_Madurai.tif,,viirs_raw_2022_10_24_4band.tif
2022-11-01,9,yes,ERA5L_2022_11_01_Madurai.tif,,viirs_raw_2022_11_01_4band.tif
2022-11-09,8,no,ERA5L_2022_11_09_Madurai.tif,MODIS_2022_11_09_Madurai.tif,viirs_raw_2022_11_09_4band.tif
2022-11-17,9,no,ERA5L_2022_11_17_Madurai.tif,,viirs_raw_2022_11_17_4band.tif
2022-11-25,8,no,ERA5L_2022_11_25_Madurai.tif,,viirs_raw_2022_11_25_4band.tif
2022-12-03,9,no,ERA5L_2022_12_03_Madurai.tif,MODIS_2022_12_03_Madurai.tif,viirs_raw_2022_12_03_4band.tif
2022-12-11,8,no,ERA5L_2022_12_11_Madurai.tif,,viirs_raw_2022_12_11_4band.tif
2022-12-19,9,no,ERA5L_2022_12_19_Madurai.tif,MODIS_2022_12_19_Madurai.tif,viirs_raw_2022_12_19_4band.tif
2022-12-27,8,no,ERA5L_2022_12_27_Madurai.tif,MODIS_2022_12_27_Madurai.tif,viirs_raw_2022_12_27_4band.tif
2023-01-04,9,no,ERA5L_2023_01_04_Madurai.tif,MODIS_2023_01_04_Madurai.tif,viirs_raw_2023_01_04_4band.tif
2023-01-12,8,no,ERA5L_2023_01_12_Madurai.tif,MODIS_2023_01_12_Madurai.tif,viirs_raw_2023_01_12_4band.tif
2023-01-20,9,no,ERA5L_2023_01_20_Madurai.tif,MODIS_2023_01_20_Madurai.tif,viirs_raw_2023_01_20_4band.tif
2023-02-05,9,no,ERA5L_2023_02_05_Madurai.tif,MODIS_2023_02_05_Madurai.tif,viirs_raw_2023_02_05_4band.tif
2023-02-13,8,no,ERA5L_2023_02_13_Madurai.tif,MODIS_2023_02_13_Madurai.tif,viirs_raw_2023_02_13_4band.tif
2023-02-21,9,no,ERA5L_2023_02_21_Madurai.tif,MODIS_2023_02_21_Madurai.tif,viirs_raw_2023_02_21_4band.tif
2023-03-01,8,no,ERA5L_2023_03_01_Madurai.tif,,viirs_raw_2023_03_01_4band.tif
2023-03-09,9,no,ERA5L_2023_03_09_Madurai.tif,MODIS_2023_03_09_Madurai.tif,viirs_raw_2023_03_09_4band.tif
2023-03-17,8,no,ERA5L_2023_03_17_Madurai.tif,,viirs_raw_2023_03_17_4band.tif
2023-03-25,9,no,ERA5L_2023_03_25_Madurai.tif,MODIS_2023_03_25_Madurai.tif,viirs_raw_2023_03_25_4band.tif
2023-04-02,8,no,ERA5L_2023_04_02_Madurai.tif,,viirs_raw_2023_04_02_4band.tif
2023-04-10,9,no,ERA5L_2023_04_10_Madurai.tif,MODIS_2023_04_10_Madurai.tif,viirs_raw_2023_04_10_4band.tif
2023-04-18,8,no,ERA5L_2023_04_18_Madurai.tif,MODIS_2023_04_18_Madurai.tif,viirs_raw_2023_04_18_4band.tif
2023-04-26,9,no,ERA5L_2023_04_26_Madurai.tif,,viirs_raw_2023_04_26_4band.tif
2023-05-04,8,no,ERA5L_2023_05_04_Madurai.tif,,viirs_raw_2023_05_04_4band.tif
2023-05-12,9,yes,ERA5L_2023_05_12_Madurai.tif,,viirs_raw_2023_05_12_4band.tif
2023-05-20,8,no,ERA5L_2023_05_20_Madurai.tif,,viirs_raw_2023_05_20_4band.tif
2023-05-28,9,yes,ERA5L_2023_05_28_Madurai.tif,,viirs_raw_2023_05_28_4band.tif
2023-06-05,8,no,ERA5L_2023_06_05_Madurai.tif,MODIS_2023_06_05_Madurai.tif,viirs_raw_2023_06_05_4band.tif
2023-06-13,9,no,ERA5L_2023_06_13_Madurai.tif,,viirs_raw_2023_06_13_4band.tif
2023-06-21,8,yes,ERA5L_2023_06_21_Madurai.tif,,viirs_raw_2023_06_21_4band.tif
2023-06-29,9,no,ERA5L_2023_06_29_Madurai.tif,MODIS_2023_06_29_Madurai.tif,viirs_raw_2023_06_29_4band.tif
2023-07-07,8,yes,ERA5L_2023_07_07_Madurai.tif,,viirs_raw_2023_07_07_4band.tif
2023-07-15,9,no,ERA5L_2023_07_15_Madurai.tif,MODIS_2023_07_15_Madurai.tif,viirs_raw_2023_07_15_4band.tif
2023-07-23,8,no,ERA5L_2023_07_23_Madurai.tif,,viirs_raw_2023_07_23_4band.tif
2023-07-31,9,no,ERA5L_2023_07_31_Madurai.tif,MODIS_2023_07_31_Madurai.tif,viirs_raw_2023_07_31_4band.tif
2023-08-08,8,no,ERA5L_2023_08_08_Madurai.tif,MODIS_2023_08_08_Madurai.tif,viirs_raw_2023_08_08_4band.tif
2023-08-16,9,no,ERA5L_2023_08_16_Madurai.tif,MODIS_2023_08_16_Madurai.tif,viirs_raw_2023_08_16_4band.tif
2023-08-24,8,no,ERA5L_2023_08_24_Madurai.tif,MODIS_2023_08_24_Madurai.tif,viirs_raw_2023_08_24_4band.tif
2023-09-01,9,no,ERA5L_2023_09_01_Madurai.tif,MODIS_2023_09_01_Madurai.tif,viirs_raw_2023_09_01_4band.tif
2023-09-09,8,no,ERA5L_2023_09_09_Madurai.tif,MODIS_2023_09_09_Madurai.tif,viirs_raw_2023_09_09_4band.tif
2023-09-17,9,no,ERA5L_2023_09_17_Madurai.tif,,viirs_raw_2023_09_17_4band.tif
2023-09-25,8,yes,ERA5L_2023_09_25_Madurai.tif,,viirs_raw_2023_09_25_4band.tif
2023-10-03,9,no,ERA5L_2023_10_03_Madurai.tif,MODIS_2023_10_03_Madurai.tif,viirs_raw_2023_10_03_4band.tif
2023-10-11,8,no,ERA5L_2023_10_11_Madurai.tif,,viirs_raw_2023_10_11_4band.tif
2023-10-19,9,no,ERA5L_2023_10_19_Madurai.tif,,viirs_raw_2023_10_19_4band.tif
2023-10-27,8,no,ERA5L_2023_10_27_Madurai.tif,MODIS_2023_10_27_Madurai.tif,viirs_raw_2023_10_27_4band.tif
2023-11-12,8,no,ERA5L_2023_11_12_Madurai.tif,MODIS_2023_11_12_Madurai.tif,viirs_raw_2023_11_12_4band.tif
2023-11-20,9,no,ERA5L_2023_11_20_Madurai.tif,MODIS_2023_11_20_Madurai.tif,viirs_raw_2023_11_20_4band.tif
2023-11-28,8,no,ERA5L_2023_11_28_Madurai.tif,MODIS_2023_11_28_Madurai.tif,viirs_raw_2023_11_28_4band.tif
2023-12-06,9,no,ERA5L_2023_12_06_Madurai.tif,MODIS_2023_12_06_Madurai.tif,viirs_raw_2023_12_06_4band.tif
2023-12-14,8,no,ERA5L_2023_12_14_Madurai.tif,MODIS_2023_12_14_Madurai.tif,viirs_raw_2023_12_14_4band.tif
2023-12-22,9,no,ERA5L_2023_12_22_Madurai.tif,MODIS_2023_12_22_Madurai.tif,viirs_raw_2023_12_22_4band.tif
2023-12-30,8,no,ERA5L_2023_12_30_Madurai.tif,,viirs_raw_2023_12_30_4band.tif
2024-01-07,9,no,ERA5L_2024_01_07_Madurai.tif,MODIS_2024_01_07_Madurai.tif,viirs_raw_2024_01_07_4band.tif
2024-01-15,8,no,ERA5L_2024_01_15_Madurai.tif,MODIS_2024_01_15_Madurai.tif,viirs_raw_2024_01_15_4band.tif
2024-01-23,9,no,ERA5L_2024_01_23_Madurai.tif,,viirs_raw_2024_01_23_4band.tif
2024-01-31,8,no,ERA5L_2024_01_31_Madurai.tif,MODIS_2024_01_31_Madurai.tif,viirs_raw_2024_01_31_4band.tif
2024-02-08,9,no,ERA5L_2024_02_08_Madurai.tif,MODIS_2024_02_08_Madurai.tif,viirs_raw_2024_02_08_4band.tif
2024-02-16,8,no,ERA5L_2024_02_16_Madurai.tif,MODIS_2024_02_16_Madurai.tif,viirs_raw_2024_02_16_4band.tif
2024-02-24,9,no,ERA5L_2024_02_24_Madurai.tif,MODIS_2024_02_24_Madurai.tif,viirs_raw_2024_02_24_4band.tif
2024-03-03,8,no,ERA5L_2024_03_03_Madurai.tif,MODIS_2024_03_03_Madurai.tif,viirs_raw_2024_03_03_4band.tif
2024-03-11,9,no,ERA5L_2024_03_11_Madurai.tif,MODIS_2024_03_11_Madurai.tif,viirs_raw_2024_03_11_4band.tif
2024-03-19,8,no,ERA5L_2024_03_19_Madurai.tif,MODIS_2024_03_19_Madurai.tif,viirs_raw_2024_03_19_4band.tif
2024-03-27,9,no,ERA5L_2024_03_27_Madurai.tif,MODIS_2024_03_27_Madurai.tif,viirs_raw_2024_03_27_4band.tif
2024-04-04,8,no,ERA5L_2024_04_04_Madurai.tif,MODIS_2024_04_04_Madurai.tif,viirs_raw_2024_04_04_4band.tif
2024-04-12,9,no,ERA5L_2024_04_12_Madurai.tif,,viirs_raw_2024_04_12_4band.tif
2024-04-20,8,no,ERA5L_2024_04_20_Madurai.tif,,viirs_raw_2024_04_20_4band.tif
2024-04-28,9,no,ERA5L_2024_04_28_Madurai.tif,MODIS_2024_04_28_Madurai.tif,viirs_raw_2024_04_28_4band.tif
2024-05-06,8,no,ERA5L_2024_05_06_Madurai.tif,,viirs_raw_2024_05_06_4band.tif
2024-05-14,9,no,ERA5L_2024_05_14_Madurai.tif,,viirs_raw_2024_05_14_4band.tif
2024-05-22,8,yes,ERA5L_2024_05_22_Madurai.tif,,viirs_raw_2024_05_22_4band.tif
2024-06-07,8,yes,ERA5L_2024_06_07_Madurai.tif,,viirs_raw_2024_06_07_4band.tif
2024-06-15,9,no,ERA5L_2024_06_15_Madurai.tif,MODIS_2024_06_15_Madurai.tif,viirs_raw_2024_06_15_4band.tif
2024-06-23,8,no,ERA5L_2024_06_23_Madurai.tif,MODIS_2024_06_23_Madurai.tif,viirs_raw_2024_06_23_4band.tif
2024-07-01,9,yes,ERA5L_2024_07_01_Madurai.tif,,viirs_raw_2024_07_01_4band.tif
2024-07-09,8,no,ERA5L_2024_07_09_Madurai.tif,,viirs_raw_2024_07_09_4band.tif
2024-07-17,9,yes,ERA5L_2024_07_17_Madurai.tif,,viirs_raw_2024_07_17_4band.tif
2024-08-02,9,no,ERA5L_2024_08_02_Madurai.tif,,viirs_raw_2024_08_02_4band.tif
2024-08-10,8,no,ERA5L_2024_08_10_Madurai.tif,MODIS_2024_08_10_Madurai.tif,viirs_raw_2024_08_10_4band.tif
2024-08-18,9,no,ERA5L_2024_08_18_Madurai.tif,MODIS_2024_08_18_Madurai.tif,viirs_raw_2024_08_18_4band.tif
2024-08-26,8,no,ERA5L_2024_08_26_Madurai.tif,,viirs_raw_2024_08_26_4band.tif
2024-09-03,9,no,ERA5L_2024_09_03_Madurai.tif,MODIS_2024_09_03_Madurai.tif,viirs_raw_2024_09_03_4band.tif
2024-09-11,8,no,ERA5L_2024_09_11_Madurai.tif,MODIS_2024_09_11_Madurai.tif,viirs_raw_2024_09_11_4band.tif
2024-09-19,9,no,ERA5L_2024_09_19_Madurai.tif,MODIS_2024_09_19_Madurai.tif,viirs_raw_2024_09_19_4band.tif
2024-09-27,8,no,ERA5L_2024_09_27_Madurai.tif,,viirs_raw_2024_09_27_4band.tif
2024-10-05,9,no,ERA5L_2024_10_05_Madurai.tif,,viirs_raw_2024_10_05_4band.tif
2024-10-21,9,yes,ERA5L_2024_10_21_Madurai.tif,,viirs_raw_2024_10_21_4band.tif
2024-10-29,8,no,ERA5L_2024_10_29_Madurai.tif,,viirs_raw_2024_10_29_4band.tif
2024-11-06,9,no,ERA5L_2024_11_06_Madurai.tif,MODIS_2024_11_06_Madurai.tif,viirs_raw_2024_11_06_4band.tif
2024-11-14,8,no,ERA5L_2024_11_14_Madurai.tif,,viirs_raw_2024_11_14_4band.tif
2024-11-22,9,no,ERA5L_2024_11_22_Madurai.tif,,viirs_raw_2024_11_22_4band.tif
2024-11-30,8,yes,ERA5L_2024_11_30_Madurai.tif,,viirs_raw_2024_11_30_4band.tif
