region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x
108,97,8.73,0.4632408320903778,5.435290813446045,2.5214176177978516,7.222531795501709,0.0014196769334375858,735.4329896907217,1187.8247422680413
109,176,15.84,0.42192432284355164,6.296786308288574,2.632744789123535,7.305758476257324,0.0,742.2897727272727,1423.0397727272727
110,46,4.14,0.4246264696121216,5.3905839920043945,2.289621591567993,6.8509907722473145,0.10677278786897659,738.304347826087,1099.1521739130435
111,402,36.18,0.3801840543746948,3.6242189407348633,1.393571376800537,3.7729618549346924,3.1765811443328857,752.4651741293533,1652.0721393034826
112,46,4.14,0.35252645611763,3.3505849838256836,1.1826720237731934,5.295915126800537,1.6536281108856201,755.304347826087,1600.7391304347825
113,34,3.06,0.3312513828277588,4.538235664367676,1.503862977027893,6.037942409515381,0.9125513434410095,754.7352941176471,1541.0882352941176
114,53,4.77,0.35885483026504517,3.271472454071045,1.179190993309021,5.2721991539001465,1.677344560623169,760.0,1633.5849056603774
115,70,6.3,0.3399338126182556,6.5132155418396,2.214787483215332,8.129237174987793,0.0,761.6285714285714,1271.2714285714285
116,63,5.67,0.4006251394748688,4.676681041717529,1.8845268487930298,6.392580032348633,0.5587725043296814,769.4603174603175,1019.8412698412699
117,28,2.52,0.3433535397052765,6.540946960449219,2.240831136703491,8.018647193908691,0.0,772.9642857142857,1265.0357142857142
118,223,20.07,0.4604637026786804,4.540173530578613,2.105778932571411,5.357171058654785,1.6288444995880127,779.5560538116592,1678.5874439461884
119,34,3.06,0.3564614951610565,6.2551493644714355,2.2212462425231934,7.827145576477051,0.13232441246509552,775.7058823529412,1561.5882352941176
120,176,15.84,0.38193225860595703,4.770789623260498,1.817976713180542,7.180171489715576,0.03723795711994171,787.5454545454545,1014.1534090909091
121,174,15.66,0.4151688516139984,6.284932613372803,2.592594623565674,6.959133148193359,0.07907425612211227,783.8965517241379,1291.6954022988505
122,358,32.22,0.5257328152656555,6.517543315887451,3.461087942123413,7.863875389099121,0.0,797.6703910614525,1065.326815642458
123,158,14.219999999999999,0.4169151186943054,4.379034042358398,1.831015706062317,4.015267372131348,2.9342758655548096,799.3227848101266,1652.3164556962026
124,96,8.64,0.41863739490509033,6.6410956382751465,2.7527427673339844,6.695659637451172,0.2538837790489197,795.9791666666666,1332.9166666666667
125,205,18.45,0.39591294527053833,5.7890400886535645,2.288189172744751,6.052183151245117,0.897360622882843,807.9658536585366,1599.3365853658536
126,94,8.459999999999999,0.3930830955505371,6.188061714172363,2.4193038940429688,5.984931945800781,0.9646100997924805,811.0957446808511,1526.1914893617022
127,55,4.95,0.4216918647289276,6.4475531578063965,2.719332695007324,7.706789493560791,0.0,809.9636363636364,1088.6545454545455
128,98,8.82,0.4251438081264496,4.226500511169434,1.8091974258422852,3.648129463195801,3.3014132976531982,812.3367346938776,1718.9795918367347
129,49,4.41,0.37262627482414246,6.200390815734863,2.3018007278442383,7.8893208503723145,0.0,815.1632653061224,1058.1836734693877
130,25,2.25,0.3355984389781952,6.519108295440674,2.1827874183654785,6.64097785949707,0.3085653781890869,815.32,1352.24
131,184,16.56,0.4285504221916199,4.3682966232299805,1.8802765607833862,3.8420357704162598,3.1075072288513184,827.8478260869565,1683.0271739130435
132,47,4.2299999999999995,0.40614473819732666,6.602599620819092,2.67079496383667,6.7423906326293945,0.2083553522825241,817.6595744680851,1343.2978723404256
133,49,4.41,0.3140808343887329,8.500470161437988,2.669574737548828,8.131402969360352,0.0,822.3673469387755,1166.2244897959183
134,855,76.95,0.41687101125717163,7.374685764312744,3.025132417678833,7.724152565002441,0.0,845.2456140350877,1150.2058479532163
135,544,48.96,0.4281100928783417,5.127095699310303,2.201035499572754,7.93170690536499,0.01499848160892725,840.6911764705883,998.4319852941177
136,503,45.269999999999996,0.48350825905799866,6.446038722991943,3.130424976348877,7.84014368057251,0.0,837.4453280318091,1075.341948310139
137,37,3.33,0.3881874084472656,5.486778259277344,2.132550001144409,6.005241394042969,0.9443010091781616,828.4864864864865,1554.918918918919
138,621,55.89,0.4623132348060608,6.521875381469727,2.9933464527130127,6.785735130310059,0.17708979547023773,843.0660225442834,1407.6682769726249
139,26,2.34,0.313780814409256,8.537100791931152,2.677617073059082,8.011967658996582,0.0,832.0,1161.5384615384614
140,37,3.33,0.3715955913066864,6.804670810699463,2.5219860076904297,7.812891960144043,0.0,833.1081081081081,1248.4324324324325
141,130,11.7,0.3736560642719269,6.375984191894531,2.3755807876586914,7.274125576019287,0.0012063796166330576,837.5076923076923,1364.123076923077
142,84,7.56,0.4306398034095764,5.371096134185791,2.3212409019470215,5.7591094970703125,1.190433144569397,835.5714285714286,1565.047619047619
143,59,5.31,0.4020679295063019,4.224338054656982,1.7051472663879395,3.9435102939605713,3.0060324668884277,839.2542372881356,1692.8983050847457
144,314,28.259999999999998,0.4052332639694214,5.99295711517334,2.4281015396118164,7.243302345275879,0.017551466822624207,856.9203821656051,1031.6433121019109
145,25,2.25,0.3410038352012634,7.381463527679443,2.51401424407959,7.449670314788818,0.0,841.52,1284.48
146,1757,158.13,0.4344783127307892,5.4665985107421875,2.381742238998413,8.099642753601074,0.0,904.0802504268639,952.4712578258395
147,26,2.34,0.3365013003349304,7.73535680770874,2.599313974380493,8.344888687133789,0.0,852.0769230769231,1255.576923076923
148,36,3.2399999999999998,0.41302019357681274,5.778523921966553,2.3876781463623047,7.55256462097168,0.0,856.2222222222222,1082.6944444444443
149,217,19.529999999999998,0.5163247585296631,6.128041744232178,3.1903879642486572,7.346996784210205,0.0,864.5714285714286,1063.995391705069
150,164,14.76,0.39431679248809814,7.172860622406006,2.821406841278076,7.910148620605469,0.0,867.3475609756098,1138.2073170731708
151,25,2.25,0.32061776518821716,3.7972235679626465,1.2180016040802002,7.7045979499816895,0.0,864.32,609.32
152,29,2.61,0.36919182538986206,5.933984279632568,2.187623977661133,7.0996317863464355,0.0006323682609945536,865.8965517241379,1052.8275862068965
153,106,9.54,0.3730967938899994,4.761873245239258,1.775321125984192,7.860474586486816,0.0,875.1698113207547,997.4245283018868
154,638,57.419999999999995,0.42934003472328186,4.5950493812561035,1.9862399101257324,8.41356372833252,0.0,899.2068965517242,573.0815047021944
155,101,9.09,0.38480064272880554,6.483931541442871,2.4909393787384033,7.4951887130737305,0.0,881.960396039604,1083.3663366336634
156,629,56.61,0.3995555639266968,5.003615379333496,1.9986679553985596,8.351134300231934,0.0,897.9586645468999,904.7488076311606
157,65,5.85,0.3388179540634155,7.169961929321289,2.428136110305786,8.056571006774902,0.0,892.2615384615384,1214.9692307692308
158,57,5.13,0.329675555229187,7.166698455810547,2.362421751022339,7.793847560882568,0.0,894.6491228070175,1134.578947368421
159,186,16.74,0.4547681212425232,5.342143535614014,2.445244312286377,6.390955924987793,0.641402006149292,904.5698924731183,1021.1935483870968
160,609,54.809999999999995,0.43321219086647034,4.649372577667236,2.0261731147766113,8.591059684753418,0.0,918.720853858785,679.5730706075534
