region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x,centroid_row,centroid_col,centroid_easting_m,centroid_northing_m,centroid_lon,centroid_lat,min_row,max_row,min_col,max_col,bbox_min_lon,bbox_max_lon,bbox_min_lat,bbox_max_lat,display_name,place_name,road,neighbourhood,suburb,city_district,village,town,city,county,state_district,state,postcode,country,country_code,osm_building_count,osm_building_footprint_area_m2,osm_building_density_fraction,osm_building_density_percent,osm_building_count_per_ha
34,78,7.02,0.31967130303382874,3.8005876541137695,1.215211033821106,4.163973331451416,2.785569906234741,497.9871794871795,1309.1538461538462,497.9871794871795,1309.1538461538462,208954.61538461538,1126590.3846153845,78.34378444478604,10.180753060512354,489,504,1301,1318,78.34139553126876,78.34635606204876,10.178968580485211,10.183345242092166,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
35,72,6.4799999999999995,0.3861004114151001,4.410632133483887,1.702353596687317,5.894571304321289,1.054971694946289,495.65277777777777,1067.486111111111,495.65277777777777,1067.486111111111,201704.58333333334,1126660.4166666667,78.27766294846278,10.180841946654805,491,499,1060,1074,78.27546628717276,78.2795906181849,10.179781051918866,10.18225445753772,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
36,324,29.16,0.4143667221069336,5.272182464599609,2.185239553451538,6.692728519439697,0.4086611270904541,508.5833333333333,1171.3271604938273,508.5833333333333,1171.3271604938273,204819.81481481483,1126272.5,78.30610108767658,10.177572655573066,496,521,1155,1189,78.30146771911059,78.31110213103099,10.174033880247793,10.181159592411218,"Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road, Melur, Madurai, Tamil Nadu, 625105, India",Melur,Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
37,95,8.549999999999999,0.433123379945755,4.707461833953857,2.048335075378418,6.056059837341309,0.89348304271698,506.7368421052632,1108.778947368421,506.7368421052632,1108.778947368421,202943.36842105264,1126327.894736842,78.28898509183384,10.177931714114354,502,511,1102,1115,78.2869817531044,78.29083470519838,10.176624250369253,10.179366287668135,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
38,27,2.4299999999999997,0.3343343138694763,3.962723731994629,1.3253343105316162,4.417276382446289,2.532266855239868,504.14814814814815,1300.5185185185185,504.14814814814815,1300.5185185185185,208695.55555555556,1126405.5555555555,78.34143573736722,10.179063987742012,502,506,1297,1303,78.34033036947177,78.34225671499253,10.178417601577465,10.17978837375236,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
39,88,7.92,0.3797385096549988,5.212583541870117,1.9756240844726562,6.408413887023926,0.541129469871521,507.95454545454544,1145.284090909091,507.95454545454544,1145.284090909091,204038.52272727274,1126291.3636363635,78.29897483148433,10.177684313262306,503,511,1137,1151,78.29655925037369,78.3006834475103,10.176703531606869,10.179176705799598,"Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road, Melur, Madurai, Tamil Nadu, 625105, India",Melur,Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
40,168,15.12,0.3741726577281952,4.184284210205078,1.5755178928375244,6.824215888977051,0.13557441532611847,515.9285714285714,936.2202380952381,515.9285714285714,936.2202380952381,197766.60714285713,1126052.142857143,78.24179958865683,10.175045863612871,512,521,925,949,78.23858305323884,78.24544539162052,10.173508860471308,10.176276700933396,"Natham, Dindigul, Tamil Nadu, 624401, India",Natham,,,,,,,,Natham,Dindigul,Tamil Nadu,624401,India,in,0,0.0,0.0,0.0,0.0
41,725,65.25,0.4426734149456024,4.598598957061768,2.076631546020508,6.307901859283447,0.6459504961967468,539.0027586206896,1003.8124137931035,539.0027586206896,1003.8124137931035,199794.3724137931,1125359.9172413794,78.26034376160447,10.168947630989168,512,563,981,1023,78.25390266423814,78.26578602711409,10.162254923224484,10.176446561020843,"Natham, Dindigul, Tamil Nadu, 625105, India",Natham,,,,,,,,Natham,Dindigul,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
42,79,7.109999999999999,0.3576071560382843,5.351744651794434,1.9109985828399658,6.563429355621338,0.38791969418525696,518.8607594936709,1335.4683544303798,518.8607594936709,1335.4683544303798,209744.05063291139,1125964.17721519,78.35103055416906,10.175153840224032,513,525,1331,1340,78.34965704428726,78.35242198636988,10.173343315778974,10.176889022666641,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
43,216,19.439999999999998,0.3421993553638458,6.572445869445801,2.2462124824523926,7.616837024688721,0.0,528.2407407407408,1153.9907407407406,528.2407407407408,1153.9907407407406,204299.72222222222,1125682.7777777778,78.30140299102052,10.172205777452325,514,539,1140,1167,78.29740508753196,78.30512437594106,10.16912145460649,10.17623145402276,"Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road, Melur, Madurai, Tamil Nadu, 625105, India",Melur,Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
44,156,14.04,0.37850213050842285,5.171152591705322,1.9552295207977295,5.2337965965271,1.7157459259033203,519.025641025641,1392.320512820513,519.025641025641,1392.320512820513,211449.61538461538,1125959.2307692308,78.3665850491182,10.175234727890354,514,529,1382,1402,78.36361236164443,78.36939332324052,10.172371857302165,10.176754841134105,"Karungalakudi, Melur, Madurai, Tamil Nadu, 625101, India",Karungalakudi,,,,,Karungalakudi,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
45,183,16.47,0.40245163440704346,4.250468730926514,1.7264405488967896,7.042620658874512,0.022004546597599983,524.311475409836,961.3661202185792,524.311475409836,961.3661202185792,198520.98360655736,1125800.6557377048,78.24869804388874,10.172831861437164,517,533,953,970,78.2462544563428,78.25121804298632,10.170321191567563,10.174969930577376,"Natham, Dindigul, Tamil Nadu, 624401, India",Natham,,,,,,,,Natham,Dindigul,Tamil Nadu,624401,India,in,0,0.0,0.0,0.0,0.0
