region_id,intervention,area_ha,hotspot_score_mean,mean_excess_heat_c,mean_night_cooling_c,cooling_deficit_c,cooling_leverage_factor,feasible_fraction,proxy_mean_cooling_c,proxy_max_cooling_c,proxy_hotspot_freq_reduction_pct,priority_score,intervention_code
420,urban_greening,24.39,3.0316061973571777,7.293087959289551,8.19405746459961,0.02796287275850773,1.0279628727585077,1.0,2.107943534851074,2.950000047683716,28.90330607031946,160.22157228360496,2
309,urban_greening,19.8,3.293337821960449,7.284359455108643,7.030303478240967,0.09979349374771118,1.0997934937477112,1.0,2.2018587589263916,2.689983606338501,30.227211774704383,157.90725184451637,2
411,urban_greening,20.52,3.3837249279022217,6.977357864379883,7.545379161834717,0.018926963210105896,1.018926963210106,1.0,2.2266108989715576,2.5848748683929443,31.911949225632117,157.52873759821534,2
27,urban_greening,17.28,1.1194357872009277,3.250635862350464,2.900629758834839,4.048913478851318,5.048913478851318,1.0,1.6065500974655151,1.714648723602295,49.422641153778876,156.9044013168565,2
125,urban_greening,18.45,2.288189172744751,5.7890400886535645,6.052183151245117,0.897360622882843,1.897360622882843,1.0,1.9266057014465332,2.232254981994629,33.28022732512516,154.32312927336562,2
217,urban_greening,17.099999999999998,2.1394495964050293,5.358088970184326,5.815623760223389,1.133919596672058,2.133919596672058,1.0,1.8858742713928223,2.238837718963623,35.19677037628484,147.2275065860582,2
75,urban_greening,19.71,1.6445823907852173,4.402709484100342,5.359400749206543,1.5901424884796143,2.5901424884796143,1.0,1.750357985496521,2.0171914100646973,39.75638165129109,146.9578522941893,2
10,urban_greening,20.7,1.9252729415893555,4.69503116607666,5.945098400115967,1.0044448375701904,2.0044448375701904,1.0,1.8272234201431274,2.0201945304870605,38.918238356871704,145.9648934723406,2
267,urban_greening,30.24,2.4418187141418457,7.280558109283447,7.420426368713379,0.0,1.0,1.0,1.968676209449768,2.088798999786377,27.040182632970225,145.36822840808512,2
395,urban_greening,15.479999999999999,2.984882116317749,7.502371788024902,6.486729621887207,0.46382588148117065,1.4638258814811707,1.0,2.1173903942108154,2.5141468048095703,28.22294674319581,143.21499769900228,2
407,urban_greening,22.23,2.955043077468872,6.584691047668457,8.16240406036377,0.0,1.0,1.0,2.1092190742492676,2.47035551071167,32.03216459177855,138.5558825745351,2
401,urban_greening,22.41,2.9296512603759766,6.743564128875732,8.008590698242188,0.0,1.0,1.0,2.1022658348083496,2.3858728408813477,31.174402654621648,138.02107791557856,2
144,urban_greening,28.259999999999998,2.4281015396118164,5.99295711517334,7.243302345275879,0.017551466822624207,1.0175514668226242,1.0,1.9649198055267334,2.3541057109832764,32.787149445001496,137.1956105355059,2
44,urban_greening,14.04,1.9552295207977295,5.171152591705322,5.2337965965271,1.7157459259033203,2.7157459259033203,1.0,1.835426926612854,2.0360474586486816,35.49357506016998,136.83307567910356,2
149,urban_greening,19.529999999999998,3.1903879642486572,6.128041744232178,7.346996784210205,0.0,1.0,1.0,2.1736669540405273,2.634885787963867,35.47082485341131,135.43744255154442,2
159,urban_greening,16.74,2.445244312286377,5.342143535614014,6.390955924987793,0.641402006149292,1.641402006149292,1.0,1.9696141481399536,2.3975653648376465,36.869360304703434,132.33472711655492,2
188,urban_greening,29.52,2.3129234313964844,6.4519476890563965,8.540606498718262,0.0,1.0,1.0,1.933379054069519,2.0557126998901367,29.965820357608596,132.00628777421113,2
227,urban_greening,26.009999999999998,2.5402610301971436,7.444981575012207,9.267434120178223,0.0,1.0,1.0,1.9956337213516235,2.08811616897583,26.805086100543527,131.85588920104666,2
25,urban_greening,21.24,2.22863507270813,4.785109996795654,6.5309529304504395,0.41858965158462524,1.4185896515846252,1.0,1.910297155380249,2.265152931213379,39.921697863988044,128.27770743225562,2
406,urban_greening,19.08,2.941969633102417,7.332141399383545,7.079923629760742,0.04680505022406578,1.0468050502240658,1.0,2.1056392192840576,2.463776111602783,28.717929791439794,123.72752521722809,2
128,urban_greening,8.82,1.8091974258422852,4.226500511169434,3.648129463195801,3.3014132976531982,4.301413297653198,1.0,1.7954366207122803,2.0353665351867676,42.48045436094126,123.23549070186566,2
413,urban_greening,19.62,2.9695942401885986,6.88521671295166,8.20532512664795,0.0,1.0,1.0,2.113203763961792,2.4277164936065674,30.691899065234672,123.12251858030989,2
172,urban_greening,24.029999999999998,2.547499179840088,6.820298671722412,8.182854652404785,0.0,1.0,1.0,1.997615933418274,2.158052444458008,29.28927352845373,122.2868665970056,2
165,urban_greening,30.959999999999997,2.0904018878936768,5.081847667694092,8.76500415802002,0.0,1.0,1.0,1.8724429607391357,2.120873212814331,36.845712094883865,121.18234097116766,2
163,urban_greening,22.59,2.6168384552001953,6.7921013832092285,8.285430908203125,0.0,1.0,1.0,2.01660418510437,2.19647479057312,29.690431154187753,119.21030752546719,2
288,urban_greening,18.45,3.0311837196350098,8.052566528320312,7.915988445281982,0.0,1.0,1.0,2.1300697326660156,2.3761825561523438,26.45206003793585,119.12487322910647,2
255,urban_greening,13.049999999999999,2.4537696838378906,5.873263835906982,6.089636325836182,0.8774874210357666,1.8774874210357666,1.0,1.9719486236572266,2.225985527038574,33.57500495042391,118.55419881773918,2
65,urban_greening,19.98,2.833677053451538,6.004975318908691,7.464880466461182,0.0,1.0,1.0,2.075983762741089,2.4191768169403076,34.5710623689685,117.53569768531177,2
252,urban_greening,20.61,2.716184616088867,6.513521194458008,8.304549217224121,0.0,1.0,1.0,2.043809413909912,2.259340763092041,31.377949850671794,114.41360561544477,2
101,urban_greening,21.33,2.6060543060302734,5.8639326095581055,7.196763515472412,0.007249955087900162,1.0072499550879002,1.0,2.013651132583618,2.3645410537719727,34.33960222021315,112.74461406828623,2
434,urban_greening,16.83,2.365230083465576,5.865966796875,6.740485191345215,0.4405183792114258,1.4405183792114258,1.0,1.9477026462554932,2.2070400714874268,33.20343796172015,111.68605942528038,2
402,urban_greening,25.02,2.3048555850982666,6.610533714294434,8.97001838684082,0.0,1.0,1.0,1.9311695098876953,2.1458277702331543,29.213518807290676,111.36569210251615,2
