region_id,intervention,area_ha,hotspot_score_mean,mean_excess_heat_c,mean_night_cooling_c,cooling_deficit_c,cooling_leverage_factor,feasible_fraction,proxy_mean_cooling_c,proxy_max_cooling_c,proxy_hotspot_freq_reduction_pct,priority_score
10,cool_pavement,20.7,1.9252729415893555,4.69503116607666,5.945098400115967,1.0044448375701904,2.0044448375701904,1.0,1.1355057954788208,1.258305549621582,24.185266408522928,90.70810971835543
11,cool_roof,2.79,1.546351432800293,4.644782066345215,6.0121564865112305,0.9373874068260193,1.9373874068260193,1.0,1.4464657306671143,1.5257800817489624,31.141735177368133,12.090298565022785
11,urban_greening,2.79,1.546351432800293,4.644782066345215,6.0121564865112305,0.9373874068260193,1.9373874068260193,1.0,1.723457932472229,1.8203978538513184,37.10524859626721,14.405540709378567
11,cool_pavement,2.79,1.546351432800293,4.644782066345215,6.0121564865112305,0.9373874068260193,1.9373874068260193,1.0,1.069473385810852,1.1311622858047485,23.02526513697931,8.939204204883259
12,cool_roof,8.459999999999999,1.7270731925964355,4.519707679748535,6.22884464263916,0.775661051273346,1.775661051273346,1.0,1.4869574308395386,1.621297001838684,32.89941598440431,38.57800014681353
12,urban_greening,8.459999999999999,1.7270731925964355,4.519707679748535,6.22884464263916,0.775661051273346,1.775661051273346,1.0,1.7729477882385254,1.937140703201294,39.22704550523426,45.99780640414272
12,cool_pavement,8.459999999999999,1.7270731925964355,4.519707679748535,6.22884464263916,0.775661051273346,1.775661051273346,1.0,1.1009668111801147,1.2054531574249268,24.359248190169893,28.56376176106326
13,cool_roof,7.109999999999999,1.706522822380066,4.278982162475586,6.285276889801025,0.7201696038246155,1.7201696038246155,1.0,1.48235285282135,1.6417765617370605,34.64265090471285,30.93887830409526
13,urban_greening,7.109999999999999,1.706522822380066,4.278982162475586,6.285276889801025,0.7201696038246155,1.7201696038246155,1.0,1.767319917678833,1.9621713161468506,41.30234365493026,36.88655892785525
13,cool_pavement,7.109999999999999,1.706522822380066,4.278982162475586,6.285276889801025,0.7201696038246155,1.7201696038246155,1.0,1.0973855257034302,1.221381664276123,25.645947658462372,22.904045529911244
